"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.0252","0.0288","0.0395","0.0443","0.0435","0.0574","0.0564","0.0671","0.0719","0.0759","0.0798","0.0829","0.0818","0.0844","0.0986","0.1041","0.1137","0.1287","0.1428","0.1974","0.2009","0.2262","0.2506","0.2514","0.2856","0.3142","0.2066","0.3427","0.3509","0.3555","0.2686","0.2715","0.2966","0.3419","0.3489","0.3848","0.4237","0.4575","0.454","0.4927","0.4822","0.2902","0.3749","0.4123","0.4407","0.462","0.4849","0.4666","0.4659","0.5579","0.4526","0.5006","0.5027","0.53",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","228.4707","227.1187","236.0831","257.7254","264.8591","277.3453","289.9063","293.7032","273.3683","279.7218","296.401","308.1186","311.9497","315.0206","333.2589","341.1113","341.8975","362.7906","368.8666","366.0532","378.5044","370.7042","364.3665","364.4641","372.7854","392.5503","407.2177","423.815","431.596","418.7064","425.0283","436.7736","450.3511","473.8282","510.3818","524.9183","534.2282","557.2732","588.0186","561.5363","576.5684","570.2894","589.2651","612.7969","635.6297","621.8665","628.5365","637.9068","645.8367","654.5401","578.052","606.3945","588.4335","579.8655",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","1.7339","1.7337","1.6936","1.7339","2.1903","2.029","1.8926","2.2826","1.9341","2.0593","2.0064","2.2599","2.3096","3.0017","3.2247","4.1234","3.9416","3.2728","3.0879","2.896","2.9222","2.847","1.8199","1.7848","1.6852","1.463","1.4172","1.3846","1.4204","1.3755","1.0161","0.9447","0.9423","1.008","0.8929","1.2663","1.4083","2.0096","3.8334","6.0828","7.7889","11.4087","9.7678","8.3","7.8257","8.3465","7.5276","8.0661","7.932","7.2491","7.0541","7.9308","8.2599","8.7073",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","42.4161","57.1897","70.5182","91.7246","113.8563","91.2373","103.4512","90.4019","94.0102","124.1053","114.4605","98.8202","94.8289","96.64","97.8836","101.9836","99.3758","95.9753","103.4346","108.5949","102.7717","107.9857","116.8532","115.0574","111.4613","121.6235","140.7514","140.1474","135.0238","136.8567","146.74","155.8359","146.2791","158.1168","157.0589","158.4567","151.2318","146.4052","155.5005","147.8734","166.4575","177.6335","181.2535","199.7577","208.9779","208.8912","217.443","218.2637","230.4901","240.4359","235.9365","249.1554","251.4104","245.6408",
"Angola","AGO","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","8.9339","8.5195","10.3661","11.347","11.8066","10.9047","7.292","12.0335","14.2163","14.1794","14.3161","13.2323","12.7715","13.2213","13.3566","14.1037","14.2462","14.5016","14.9408","15.1035","11.2307","11.7805","12.119","12.1416","11.4904","12.9533","15.6788","16.4021","17.0364","18.0314","16.5119","16.1923","15.9154","17.3296","17.6903","15.6389","16.3202","17.0558","19.1194","21.0889","22.7399","23.65","24.7162","28.5342","30.8873","33.0975","31.2858","27.9421","26.2589","27.5732","20.7109","25.2628","27.353","28.2299",
"Albania","ALB","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","4.845","4.8381","5.5183","4.9519","5.3296","5.4241","5.7966","6.2009","6.821","7.9367","8.0735","7.0726","7.273","7.7922","8.4312","8.0739","8.1514","8.2927","8.1996","7.9059","6.645","4.3795","2.363","2.2227","2.3441","2.07","2.0549","1.5805","1.9147","3.0866","3.2325","3.4393","4.0064","4.2112","4.414","4.1485","4.1347","4.2444","4.1946","4.2746","4.5569","4.9882","4.5329","4.7693","5.0958","4.8635","4.5303","5.3415","5.3056","4.9535","4.5608","5.0393","4.609","4.5918",
"Andorra","AND","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","270.7078","289.0603","323.0438","373.801","365.893","367.3776","433.9417","447.9059","479.6342","515.5544","543.2508","511.0704","531.0643","551.0051","546.5349","568.3927","593.4645","620.9081","653.5816","683.3993","675.5995","695.405","741.1032","792.8218","842.1033","867.1205","889.7174","931.8766","943.6983","959.1949","994.5824","1054.299","1090.0402","1122.2393","1184.848","1268.8428","1332.7533","1386.4762","1489.0313","1541.7715","1634.2053","1678.8153","1798.8966","1837.3419","1901.2005","1946.8165","1970.4441","2000.1477","1984.9822","2010.0404","1918.1944","2005.5031","2053.4305","2089.4414",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","19.4648","25.4298","27.7474","35.8436","36.0107","36.6794","45.581","45.8764","52.6114","37.8795","41.1385","38.0555","38.065","36.7928","49.9812","51.8115","50.2341","52.0698","50.9892","56.936","56.8876","64.7222","62.5224","65.9141","72.5685","77.4025","80.8908","84.3016","86.4781","89.1524","88.4569","101.2593","103.5184","108.8196","115.0197","122.4619","127.1976","137.1441","164.2519","165.3369","171.9537","177.2645","185.0209","194.9231","197.9033","206.6195","212.2197","204.258","187.0555","197.6423","195.4909","201.3251","206.8995","205.9913",
"Argentina","ARG","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","87.5691","87.8908","89.7154","92.8004","93.2802","90.9167","95.5879","99.5195","98.5796","104.2683","101.8262","98.7968","98.0069","101.4394","100.8356","94.2104","101.6382","107.2494","111.0341","107.7763","100.1876","105.5928","107.511","111.2743","114.6833","116.2684","126.5706","130.9264","138.0079","139.9387","136.7616","131.3471","124.055","135.2443","149.7328","153.6798","162.6177","173.1561","179.3129","164.9146","177.4042","184.8745","188.8658","193.2397","190.0821","196.2522","194.1702","191.3792","189.8389","183.2869","170.1203","190.662","193.4816","183.7784",
